,Irrigation (inches),,,,,,,,,,,,,,,,,,,,
17,0.25,0.00,0.00,0.70,0.50,0.50,0.00,0.50,0.30,0.70,0.30,0.70,1.00,0.00,1.00,0.90,1.00,0.75,0.50,0.00,9.60
18,0.25,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.30,0.70,0.30,0.00,1.00,0.30,0.70,1.00,1.00,1.00,1.00,1.00,8.85
19,0.25,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.30,0.00,1.00,0.00,1.00,0.00,1.00,0.50,0.00,0.60,7.65
20,0.25,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.30,0.70,1.00,1.00,0.00,1.00,0.00,7.25
21,0.25,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.15,0.85,0.00,0.00,0.00,0.15,0.50,0.00,0.00,0.00,0.00,0.00,2.00
22,0.25,0.00,0.00,0.00,0.00,1.00,0.30,0.70,0.30,0.70,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,10.25
23,0.25,0.00,0.00,0.00,1.00,0.00,0.30,0.70,0.00,1.00,0.30,0.70,1.00,0.30,0.70,1.00,0.00,0.50,0.00,0.00,7.75
24,0.25,0.00,1.00,0.00,1.00,1.00,0.30,0.70,0.30,0.70,0.30,0.00,1.00,0.30,0.70,0.00,1.00,1.00,1.00,1.00,11.55
25,0.25,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.25,0.75,0.25,0.75,1.00,0.25,0.75,0.00,1.00,0.00,1.00,0.00,9.25
26,0.25,0.00,0.00,1.00,1.00,0.00,0.30,0.70,0.00,0.00,0.00,0.00,1.00,0.30,0.70,1.00,1.00,1.00,0.00,1.00,9.25
27,0.25,0.00,0.00,1.00,1.00,1.00,0.30,0.00,0.30,0.70,0.30,0.00,1.00,0.30,0.70,0.50,1.00,1.00,1.00,1.00,11.35
28,0.25,0.00,0.00,0.00,0.50,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.40,0.00,0.00,7.15
29,0.25,0.00,0.00,0.65,0.65,0.60,0.00,0.00,0.30,0.70,0.00,0.70,0.65,0.30,0.65,0.00,0.00,0.00,0.00,0.00,5.45
30,0.25,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,11.25
31,0.25,1.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,15.25
32,0.25,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.30,0.70,0.30,0.50,1.00,0.00,0.60,0.00,0.60,0.40,0.00,0.00,6.65
33,0.25,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.30,0.70,0.30,0.50,1.00,0.00,0.60,0.60,0.60,0.40,0.40,0.00,7.65
34,0.25,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.30,0.70,0.30,0.50,1.00,0.00,0.60,0.60,0.60,0.40,0.40,0.00,7.65
